reporter_iso3,partner_iso3,cmd_code,cmd_desc,year,mfn_rate,pref_rate,duty_savings_pct,tariff_type,trade_agreement,nomenclature,source,retrieved_at
IND,000,100630,Basmati / Milled Rice,2015,10.0,10.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,520512,Cotton Yarn,2015,7.5,7.5,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,271019,Petroleum Oils,2015,5.0,5.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,851712,Cellular Smartphones,2015,0.0,0.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,300490,Medicaments / Pharma,2015,5.0,5.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,090411,Black Pepper,2015,15.0,15.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,711319,Gold Jewellery Articles,2015,12.5,12.5,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,847130,Laptops / Computers,2015,0.0,0.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,100630,Basmati / Milled Rice,2016,10.0,10.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,520512,Cotton Yarn,2016,7.5,7.5,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
IND,000,271019,Petroleum Oils,2016,5.0,5.0,0.0,MFN_APPLIED,WTO_MFN,HS2017,WITS / UNCTAD TRAINS,2026-08-20T01:03:06.422180+00:00
