importer_iso3,importer_iso2,exporter_iso3,exporter_iso2,exporter_numeric,exporter_country_name,currency_code,currency_name,hs6,product_description,year,import_value_usd,import_net_weight_kg,quantity,cif_unit_value_usd_per_kg,supplier_market_share_pct,transaction_count,supplier_gdp,supplier_gdp_per_capita,supplier_gdp_growth,supplier_inflation,supplier_population,supplier_trade_pct_gdp,india_import_tariff_rate,mfn_tariff_rate,tariff_type,rta_exists,rta_name,rta_status,rta_entry_into_force,rta_type,rta_coverage,supplier_locode_count,supplier_port_count,supplier_airport_count,supplier_inland_terminal_count,gleif_supplier_count,gleif_active_supplier_count,sanctions_entity_count,ofac_entity_count,sanctions_present
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2015,4179420.22,910064.96,910064.96,4.5924,0.35,1,4113688883373.54,2762.28,8.3,2.1,1484697164.0,41.75,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2016,8012658.69,1563177.34,1563177.34,5.1259,0.65,1,4463352438460.3,2963.92,8.8,2.1,1501028832.0,42.2,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2017,8213211.69,1812803.51,1812803.51,4.5307,0.57,1,4842737395729.42,3180.29,8.3,2.1,1517540150.0,42.65,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2018,11977241.05,2644421.5,2644421.5,4.5292,0.9,1,5254370074366.42,3412.45,8.8,2.1,1534233091.0,43.1,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2019,9718074.01,1704467.93,1704467.93,5.7015,0.67,1,5700991530687.57,3661.56,8.3,2.1,1551109655.0,43.55,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2020,2024744.48,414469.49,414469.49,4.8851,0.14,1,6185575810796.01,3928.85,2.5,2.1,1568171861.0,44.0,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2021,19559847.34,4050206.65,4050206.65,4.8293,1.01,1,6711349754713.67,4215.66,11.0,2.1,1585421752.0,44.45,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2022,16417147.27,3296762.8,3296762.8,4.9798,0.99,1,7281814483864.33,4523.4,11.0,5.6,1602861391.0,44.9,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2023,7738667.37,1407482.01,1407482.01,5.4982,0.47,1,7900768714992.8,4853.61,8.3,5.6,1620492866.0,45.35,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
IND,IN,CHN,CN,156,China,CNY,Yuan Renminbi,90411,Pepper of the genus Piper; neither crushed nor ground (Black Pepper),2024,16487569.39,3441557.96,3441557.96,4.7907,0.87,1,8572334055767.19,5207.92,8.8,2.1,1638318288.0,45.8,15.0,15.0,MFN_APPLIED,0.0,Asia Pacific Trade Agreement (APTA),In Force,1976-06-17,PTA,Goods,1676,765,191,996,0,0,0,0,0
