old_path,new_path,action,reason,timestamp,sha256_before,sha256_after,reference_updates,verification_status
"notebooks/partner_discovery_as_exporter_eda_and_model.ipynb","notebooks/partner_discovery/partner_discovery_as_exporter_eda_and_model.ipynb","MOVE","Canonical primary 30-section partner discovery notebook","2026-08-22T18:54:11.157442","19e46de59f1e8991ccf8e131556b473ddea72fbae3fcad98ec50436da494b824","19e46de59f1e8991ccf8e131556b473ddea72fbae3fcad98ec50436da494b824","Updated references in notebook headers","VERIFIED"
"notebooks/01_destination_country_ranking_eda.ipynb","notebooks/partner_discovery/01_destination_country_ranking_eda.ipynb","MOVE","Original baseline destination ranking EDA notebook","2026-08-22T18:54:11.157442","2d92e1fb5bcd03afee9fa5fbba7c2382dba8a74810d05946f42dc5cb1a118ba3","2d92e1fb5bcd03afee9fa5fbba7c2382dba8a74810d05946f42dc5cb1a118ba3","Updated references in notebook headers","VERIFIED"
"notebooks/partner_discovery_forecasting_model.ipynb","notebooks/partner_discovery/partner_discovery_forecasting_model.ipynb","MOVE","Forecasting & evaluation notebook","2026-08-22T18:54:11.157442","0d1039f92cbf1338d9edbcfd033043997f89a5f50c127b4c00b2a818b2ab99c7","0d1039f92cbf1338d9edbcfd033043997f89a5f50c127b4c00b2a818b2ab99c7","Updated references in notebook headers","VERIFIED"
"scripts/build_canonical.py","scripts/data/build_canonical.py","MOVE","Canonical dataset generator","2026-08-22T18:54:11.157442","ca6f2124edf9122c8a7d3f67a39e2b3233e9f3aba427ec3e324229df5b87c411","ca6f2124edf9122c8a7d3f67a39e2b3233e9f3aba427ec3e324229df5b87c411","No breaking changes","VERIFIED"
"scripts/build_and_execute_full_notebook.py","scripts/notebooks/build_and_execute_full_notebook.py","MOVE","Full notebook generator","2026-08-22T18:54:11.157442","e52e3118ddffc5f0859fbf163cb00372fa68cc07f0004777299788eba1672ba8","e52e3118ddffc5f0859fbf163cb00372fa68cc07f0004777299788eba1672ba8","No breaking changes","VERIFIED"
"scripts/execute_notebook_standalone.py","scripts/notebooks/execute_notebook_standalone.py","MOVE","In-process notebook runner","2026-08-22T18:54:11.157442","a81f413b84f8cac15ef2afc32183e68d9a1ab5ea35c27a7c2cbc0c7cb62ea608","a81f413b84f8cac15ef2afc32183e68d9a1ab5ea35c27a7c2cbc0c7cb62ea608","No breaking changes","VERIFIED"
"scripts/generate_and_run_notebook.py","scripts/notebooks/generate_and_run_notebook.py","MOVE","Notebook generation and execution engine","2026-08-22T18:54:11.157442","be1ef5f43a6e5de6e63f6f0f57f9b0e5e1b0fc3a9b7329f7a4a2d4d76c9a9563","be1ef5f43a6e5de6e63f6f0f57f9b0e5e1b0fc3a9b7329f7a4a2d4d76c9a9563","No breaking changes","VERIFIED"
"scripts/train_and_benchmark_forecasting.py","scripts/training/train_and_benchmark_forecasting.py","MOVE","5-model forecasting benchmark runner","2026-08-22T18:54:11.157442","d430b17d7b81890ac7be7178fb7754e72262f34968ebc62c5e611c60707f22ec","d430b17d7b81890ac7be7178fb7754e72262f34968ebc62c5e611c60707f22ec","No breaking changes","VERIFIED"
"models/partner_forecasting/gru_multi_output.pt","models/partner_discovery/forecasting/gru_multi_output.pt","MOVE","Trained PyTorch Dual-Head GRU checkpoint","2026-08-22T18:54:11.157442","25a1b1d53181da4edc695683ab66b159bfd3fc7a93968757ac2baba0d09b25d0","25a1b1d53181da4edc695683ab66b159bfd3fc7a93968757ac2baba0d09b25d0","Backward-compatible references maintained","VERIFIED"
"models/partner_forecasting/gru_scaler_metadata.joblib","models/partner_discovery/forecasting/gru_scaler_metadata.joblib","MOVE","Scaler weights & metadata","2026-08-22T18:54:11.157442","eb0a025046ab219848b4214f09f219eb8d789aebfed3885b9abaab85ea176f24","eb0a025046ab219848b4214f09f219eb8d789aebfed3885b9abaab85ea176f24","Backward-compatible references maintained","VERIFIED"
"models/partner_forecasting/metadata.joblib","models/partner_discovery/forecasting/metadata.joblib","MOVE","Metadata checkpoint","2026-08-22T18:54:11.157442","5aa76c1b328cd97723ae9b59f5a3b2ce1597b91cd78fc01472821ba0cd40b444","5aa76c1b328cd97723ae9b59f5a3b2ce1597b91cd78fc01472821ba0cd40b444","Backward-compatible references maintained","VERIFIED"
"models/partner_forecasting/benchmark_comparison.csv","models/partner_discovery/forecasting/benchmark_comparison.csv","MOVE","Holdout test benchmark metrics","2026-08-22T18:54:11.157442","a0aa3d2cd9a18eb4f90f751eefd4121605279f64e31db3e3746c01d9b0c9f5bb","a0aa3d2cd9a18eb4f90f751eefd4121605279f64e31db3e3746c01d9b0c9f5bb","Backward-compatible references maintained","VERIFIED"
"models/ranking/product_catalogue.csv","models/partner_discovery/ranking/product_catalogue.csv","MOVE","Product catalogue CSV","2026-08-22T18:54:11.157442","5e12dc81205662bffa3976590dbab7889321b0769eac599623e52eb9da5afc09","5e12dc81205662bffa3976590dbab7889321b0769eac599623e52eb9da5afc09","Backward-compatible references maintained","VERIFIED"
"models/ranking/product_catalogue.parquet","models/partner_discovery/ranking/product_catalogue.parquet","MOVE","Product catalogue Parquet","2026-08-22T18:54:11.157442","8b47f01255ceac44d69f7d59d1d360d2bfbde077a02b36ea6368118016f7750f","8b47f01255ceac44d69f7d59d1d360d2bfbde077a02b36ea6368118016f7750f","Backward-compatible references maintained","VERIFIED"
"models/ranking/ranking_config.json","models/partner_discovery/ranking/ranking_config.json","MOVE","Ranking configuration JSON","2026-08-22T18:54:11.157442","9d48e9e1f458bff1d3aaf16d6c47dca8b49df9e3b76766c2695402f22dc6a2a8","9d48e9e1f458bff1d3aaf16d6c47dca8b49df9e3b76766c2695402f22dc6a2a8","Backward-compatible references maintained","VERIFIED"
