epoch,train_loss,val_loss
1,866.7042321266888,840.2815551757812
2,816.5802865839399,787.2982788085938
3,716.6800749212157,660.8173828125
4,532.312182973647,466.9601745605469
5,276.27430622329877,223.10838317871094
6,110.75673436609351,133.82203674316406
7,103.62133787436797,120.91336822509766
8,100.71827624874479,124.0077896118164
9,92.62876514376389,131.50308227539062
10,96.06151882996198,127.22665405273438
11,95.28843931333873,119.8622817993164
12,94.4267876505404,122.75865936279297
13,99.65905214377612,124.81261444091797
14,97.5802036254936,134.60707092285156
15,92.08808024852698,115.22343444824219
16,84.19331609282061,89.4546890258789
17,83.44835528077748,74.70755004882812
18,78.32523354630271,76.91968536376953
19,84.05397867864087,74.70797729492188
20,76.4828196286044,66.02741241455078
21,79.00828686099663,64.95987701416016
22,78.49828595209162,62.608280181884766
23,83.21892938708392,70.103271484375
24,81.07453296890162,66.5877456665039
25,79.6281993490426,62.850868225097656
26,77.4507634327922,63.392921447753906
27,79.06916115792174,71.89532470703125
28,80.56168644646488,69.91220092773438
29,77.58062949423757,66.04487609863281
30,76.41388337561773,71.55813598632812
31,78.67219933524541,65.31092071533203
32,80.04046617775533,65.60623168945312
33,76.30770876863835,57.40917205810547
34,77.28191265503878,54.67160415649414
35,78.78345998361269,73.0259017944336
36,78.55051936613943,69.26297760009766
37,81.00255070722544,57.98259735107422
38,79.19183918767523,70.81330871582031
39,80.034437201486,53.37649154663086
40,77.11665385904628,63.942508697509766
41,78.66574630281633,70.4206314086914
42,76.82670951863714,49.022239685058594
43,73.78300130833847,50.98070526123047
44,77.3945043456268,41.91461181640625
45,75.4875418960463,56.406864166259766
46,76.34335319536649,47.704078674316406
47,77.72321890229624,36.49790573120117
48,77.07327464967123,38.438926696777344
49,72.75083297731909,39.71137237548828
50,77.43536917113981,41.82490158081055
51,73.99684770624755,41.63359832763672
52,73.19909075258933,46.88727569580078
53,76.39381830420766,37.457374572753906
54,73.0762103963484,45.293601989746094
55,71.73274524848033,35.847415924072266
56,70.18728846358226,52.52106857299805
57,74.14039605922017,33.08342742919922
58,73.43628664786101,46.23534393310547
59,75.23075958681476,35.359588623046875
60,75.74684395843391,42.13145446777344
61,77.9469684224383,52.75263977050781
62,75.39497140454877,45.83189010620117
63,71.62852322906937,53.277339935302734
64,73.34471267602287,58.60337448120117
65,73.88423123322355,39.585140228271484
66,73.48846833776345,30.13318634033203
67,74.87267480868084,56.93789291381836
68,73.78181838445559,34.710906982421875
69,77.4488990823908,32.89799118041992
70,78.39836219610507,40.17217254638672
