document_id,token_index,source_dataset,split,image_reference,token,x0,y0,x1,y1,entity_label
DOC_FUNSD_TRAIN_001,0,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,CERTIFICATE,120,45,310,75,HEADER
DOC_FUNSD_TRAIN_001,1,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,OF,320,45,360,75,HEADER
DOC_FUNSD_TRAIN_001,2,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,ORIGIN,370,45,490,75,HEADER
DOC_FUNSD_TRAIN_001,3,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Exporter:,50,110,140,130,QUESTION
DOC_FUNSD_TRAIN_001,4,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Bharat,150,110,210,130,ANSWER
DOC_FUNSD_TRAIN_001,5,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Agro,215,110,260,130,ANSWER
DOC_FUNSD_TRAIN_001,6,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Commodities,265,110,380,130,ANSWER
DOC_FUNSD_TRAIN_001,7,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Limited,385,110,450,130,ANSWER
DOC_FUNSD_TRAIN_001,8,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Consignee:,50,150,145,170,QUESTION
DOC_FUNSD_TRAIN_001,9,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Gulf,155,150,195,170,ANSWER
DOC_FUNSD_TRAIN_001,10,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Agri,200,150,240,170,ANSWER
DOC_FUNSD_TRAIN_001,11,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Foods,245,150,295,170,ANSWER
DOC_FUNSD_TRAIN_001,12,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,LLC,300,150,335,170,ANSWER
DOC_FUNSD_TRAIN_001,13,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Port,50,190,90,210,QUESTION
DOC_FUNSD_TRAIN_001,14,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,of,95,190,115,210,QUESTION
DOC_FUNSD_TRAIN_001,15,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Loading:,120,190,185,210,QUESTION
DOC_FUNSD_TRAIN_001,16,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Nhava,195,190,245,210,ANSWER
DOC_FUNSD_TRAIN_001,17,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Sheva,250,190,295,210,ANSWER
DOC_FUNSD_TRAIN_001,18,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Port,50,230,90,250,QUESTION
DOC_FUNSD_TRAIN_001,19,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,of,95,230,115,250,QUESTION
DOC_FUNSD_TRAIN_001,20,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Discharge:,120,230,205,250,QUESTION
DOC_FUNSD_TRAIN_001,21,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Jebel,215,230,260,250,ANSWER
DOC_FUNSD_TRAIN_001,22,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Ali,265,230,295,250,ANSWER
DOC_FUNSD_TRAIN_001,23,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,HS,50,270,75,290,QUESTION
DOC_FUNSD_TRAIN_001,24,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,Code:,80,270,125,290,QUESTION
DOC_FUNSD_TRAIN_001,25,FUNSD,train,data/raw/documents/funsd/images/train_DOC_FUNSD_TRAIN_001.png,100630,135,270,195,290,ANSWER
DOC_FUNSD_TEST_001,0,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,BILL,100,30,160,60,HEADER
DOC_FUNSD_TEST_001,1,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,OF,165,30,200,60,HEADER
DOC_FUNSD_TEST_001,2,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,LADING,205,30,310,60,HEADER
DOC_FUNSD_TEST_001,3,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,B/L,40,80,80,100,QUESTION
DOC_FUNSD_TEST_001,4,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,Number:,85,80,150,100,QUESTION
DOC_FUNSD_TEST_001,5,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,IND-DXB-99281,160,80,290,100,ANSWER
DOC_FUNSD_TEST_001,6,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,Vessel:,40,120,100,140,QUESTION
DOC_FUNSD_TEST_001,7,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,OCEAN,110,120,175,140,ANSWER
DOC_FUNSD_TEST_001,8,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,STAR,180,120,230,140,ANSWER
DOC_FUNSD_TEST_001,9,FUNSD,test,data/raw/documents/funsd/images/test_DOC_FUNSD_TEST_001.png,TITAN,235,120,295,140,ANSWER
