exporter_id,company_name,reporter_iso3,partner_iso3,hs6,export_value_india_to_partner,import_value_partner_to_india,trade_growth,trade_share,product_overlap_score,partner_concentration,tariff_rate,entity_verified,entity_status,parent_lei,sanctions_match_flag,country_gdp,country_gdp_per_capita,country_gdp_growth,country_inflation
EXP-IND-0001,GULF AGRI FOODS TRADING LLC,IND,ARE,90411,4475461905.89,4357092611.33,0.065,0.101797087008,0.88,0.0104,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0002,GULF AGRI FOODS TRADING LLC,IND,ARE,100630,1074793176.67,1085283569.67,0.065,0.1037616427161814,0.88,0.0108,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0003,GULF AGRI FOODS TRADING LLC,IND,ARE,271019,691704436.09,701398086.99,0.065,0.1020344896389057,0.88,0.0104,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0004,GULF AGRI FOODS TRADING LLC,IND,ARE,300490,8951400859.7,9260607696.75,0.065,0.1013346845092936,0.88,0.0103,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0005,GULF AGRI FOODS TRADING LLC,IND,ARE,520512,2947498813.15,3009594249.56,0.065,0.0996120564722152,0.88,0.0099,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0006,GULF AGRI FOODS TRADING LLC,IND,ARE,711319,37283183810658.37,37141184169264.34,0.065,0.1038023987237457,0.88,0.0108,5.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0007,GULF AGRI FOODS TRADING LLC,IND,ARE,847130,167381913107.21,169028236443.19,0.065,0.1023588630698502,0.88,0.0105,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0008,GULF AGRI FOODS TRADING LLC,IND,ARE,851712,25242780275.11,24031649253.99,0.065,0.0998283245455899,0.88,0.01,0.0,1,ACTIVE,529900EMIRATESHOLD00,1,517580499862.31,52843.31,4.2,2.4
EXP-IND-0009,GENERAL_TRADE_COUNTERPARTY,IND,AUS,90411,465415924.9,502733216.24,0.065,0.0111581266965526,0.88,0.0001,15.0,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
EXP-IND-0010,GENERAL_TRADE_COUNTERPARTY,IND,AUS,100630,107060625.13,115019270.4,0.065,0.0106678500259192,0.88,0.0001,10.0,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
EXP-IND-0011,GENERAL_TRADE_COUNTERPARTY,IND,AUS,271019,64661402.99,78918688.49,0.065,0.0105161832052958,0.88,0.0001,5.0,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
EXP-IND-0012,GENERAL_TRADE_COUNTERPARTY,IND,AUS,300490,902991942.61,881867251.73,0.065,0.0099312573235036,0.88,0.0001,5.0,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
EXP-IND-0013,GENERAL_TRADE_COUNTERPARTY,IND,AUS,520512,348441007.83,339403690.02,0.065,0.0115018557147029,0.88,0.0001,7.5,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
EXP-IND-0014,GENERAL_TRADE_COUNTERPARTY,IND,AUS,711319,4255292933436.14,4751363459207.18,0.065,0.0125619143758015,0.88,0.0002,12.5,0,UNREGISTERED,,0,652386591914.62,15657.28,3.4,3.0
